id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados_vinculos,sexo,1,(1),Masculino
microdados_vinculos,sexo,9,(1),Código não encontrado nos dicionários oficiais.
microdados_vinculos,sexo,2,(1),Feminino
microdados_vinculos,sexo,-1,(1),Ignorado
microdados_vinculos,raca_cor,99,2023,Código não encontrado nos dicionários oficiais.
microdados_vinculos,raca_cor,-1,2006(1),Ignorado
microdados_vinculos,raca_cor,2,2006(1),Branca
microdados_vinculos,raca_cor,8,2006(1),Parda
microdados_vinculos,raca_cor,1,2006(1),Indígena
microdados_vinculos,raca_cor,4,2006(1),Preta
microdados_vinculos,raca_cor,6,2006(1),Amarela
microdados_vinculos,raca_cor,9,2006(1),Não identificado
microdados_vinculos,bairros_rj,9997,2023,Código não encontrado nos dicionários oficiais.
microdados_estabelecimentos,bairros_rj,9997,2023,Código não encontrado nos dicionários oficiais.
microdados_vinculos,bairros_rj,540,1996(1),ENCANTADO
microdados_vinculos,bairros_rj,870,1996(1),JD SULACAP
microdados_vinculos,bairros_rj,1300,1996(1),R COMPRIDO
microdados_vinculos,bairros_rj,470,1996(1),DENDE
microdados_vinculos,bairros_rj,720,1996(1),HUMAITA
microdados_vinculos,bairros_rj,1130,1996(1),P N CIDADE
microdados_vinculos,bairros_rj,500,1996(1),E DENTRO
microdados_vinculos,bairros_rj,1620,1996(1),V ALEGRE
microdados_vinculos,bairros_rj,250,1996(1),C UNIVERSIT
microdados_vinculos,bairros_rj,1100,1996(1),P CIRCULAR
microdados_vinculos,bairros_rj,1380,1996(1),ROCHA
microdados_vinculos,bairros_rj,1430,1996(1),S CRISTOVAO
microdados_vinculos,bairros_rj,280,1996(1),CACHAMORRA
microdados_vinculos,bairros_rj,810,1996(1),JACAREPAGUA
microdados_vinculos,bairros_rj,1250,1996(1),PORTUGUESA
microdados_vinculos,bairros_rj,1290,1996(1),R ALBUQUERQ
microdados_vinculos,bairros_rj,890,1996(1),L VASCONCEL
microdados_vinculos,bairros_rj,1650,1996(1),V GRANDE
microdados_vinculos,bairros_rj,400,1996(1),COPACABANA
microdados_vinculos,bairros_rj,650,1996(1),GRAJAU
microdados_vinculos,bairros_rj,70,1996(1),ANIL
microdados_vinculos,bairros_rj,560,1996(1),FLAMENGO
microdados_vinculos,bairros_rj,990,1996(1),MADUREIRA
microdados_vinculos,bairros_rj,1020,1996(1),MARACANA
microdados_vinculos,bairros_rj,1490,1996(1),SAMPAIO
microdados_vinculos,bairros_rj,80,1996(1),AT B VISTA
microdados_vinculos,bairros_rj,390,1996(1),COLEGIO
microdados_vinculos,bairros_rj,1510,1996(1),SAUDE
microdados_vinculos,bairros_rj,1610,1996(1),URCA
microdados_vinculos,bairros_rj,180,1996(1),BONSUCESSO
microdados_vinculos,bairros_rj,220,1996(1),C FALSO
microdados_vinculos,bairros_rj,350,1996(1),CATUMBI
microdados_vinculos,bairros_rj,580,1996(1),FREG ILHA
microdados_vinculos,bairros_rj,670,1996(1),GUADALUPE
microdados_vinculos,bairros_rj,880,1996(1),JOA
microdados_vinculos,bairros_rj,1090,1996(1),OLARIA
microdados_vinculos,bairros_rj,1110,1996(1),P GUARATIBA
microdados_vinculos,bairros_rj,1200,1996(1),PECHINCHA
microdados_vinculos,bairros_rj,690,1996(1),GUARATIBA
microdados_vinculos,bairros_rj,160,1996(1),BANGU
microdados_vinculos,bairros_rj,170,1996(1),BENFICA
microdados_vinculos,bairros_rj,600,1996(1),G AZUL
microdados_vinculos,bairros_rj,930,1996(1),LEME
microdados_vinculos,bairros_rj,1060,1996(1),N S GRACAS
microdados_vinculos,bairros_rj,340,1996(1),CATETE
microdados_vinculos,bairros_rj,430,1996(1),CPO AFONSOS
microdados_vinculos,bairros_rj,450,1996(1),CURICICA
microdados_vinculos,bairros_rj,900,1996(1),LAGOA
microdados_vinculos,bairros_rj,1210,1996(1),PENHA
microdados_vinculos,bairros_rj,1530,1996(1),T COELHO
microdados_vinculos,bairros_rj,1410,1996(1),S CONRADO
microdados_vinculos,bairros_rj,1220,1996(1),PIEDADE
microdados_vinculos,bairros_rj,1570,1996(1),TAUA
microdados_vinculos,bairros_rj,1580,1996(1),TIJUCA
microdados_vinculos,bairros_rj,-1,1996(1),IGNORADO
microdados_vinculos,bairros_rj,270,1996(1),CACHAMBI
microdados_vinculos,bairros_rj,960,1996(1),M BASTOS
microdados_vinculos,bairros_rj,1470,1996(1),S TERESA
microdados_vinculos,bairros_rj,9999,1996(1),OUTROS RIO
microdados_vinculos,bairros_rj,40,1996(1),ACARI
microdados_vinculos,bairros_rj,460,1996(1),D CASTILHO
microdados_vinculos,bairros_rj,840,1996(1),JD CARIOCA
microdados_vinculos,bairros_rj,1690,1996(1),VL ISABEL
microdados_vinculos,bairros_rj,1740,1996(1),VL VALQUEIR
microdados_vinculos,bairros_rj,100,1996(1),B GUANABARA
microdados_vinculos,bairros_rj,700,1996(1),H GURGEL
microdados_vinculos,bairros_rj,1260,1996(1),PR BANDEIRA
microdados_vinculos,bairros_rj,1710,1996(1),VL KOSMOS
microdados_vinculos,bairros_rj,50,1996(1),ANCHIETA
microdados_vinculos,bairros_rj,370,1996(1),CENTRO
microdados_vinculos,bairros_rj,380,1996(1),COCOTA
microdados_vinculos,bairros_rj,680,1996(1),GUARABU
microdados_vinculos,bairros_rj,1590,1996(1),TUBIACANGA
microdados_vinculos,bairros_rj,1730,1996(1),VL PENHA
microdados_vinculos,bairros_rj,440,1996(1),CPO GRANDE
microdados_vinculos,bairros_rj,910,1996(1),LARANJEIRAS
microdados_vinculos,bairros_rj,1040,1996(1),MEIER
microdados_vinculos,bairros_rj,590,1996(1),FREG JACARE
microdados_vinculos,bairros_rj,1030,1996(1),MARE
microdados_vinculos,bairros_rj,1520,1996(1),SEPETIBA
microdados_vinculos,bairros_rj,290,1996(1),CACUIA
